[Header line: delete me to read as csv] [Country-level LTBI estimates from Houben & Dodd 2016, distributed under CC BY 4.0 license https://creativecommons.org/licenses/by/4.0/] [Individual country estimates are more subject to bias and uncertainty and should be used with caution. Brackets show IQR; point estimate is the mean.]
"iso3","All LTBI","1st infection within 2y","Any infection within 2y","INH-R infection within 2y","LTBI in <15"
"SEN"," 2,190,000 [ 1,900,000 -  2,780,000]","   137,000 [   114,000 -    171,000]","   142,000 [   118,000 -    177,000]","     6,810 [     5,170 -      8,910]","   278,000 [   257,000 -    306,000]"
"SGP","   544,000 [   336,000 -    911,000]","    14,300 [    10,600 -     17,800]","    14,800 [    11,000 -     18,200]","       599 [       453 -        758]","     9,520 [     8,540 -     10,500]"
"SLB","   157,000 [   130,000 -    185,000]","     3,070 [     2,440 -      4,050]","     3,300 [     2,660 -      4,350]","       198 [       129 -        308]","     9,190 [     8,260 -     10,100]"
"SLE"," 1,980,000 [ 1,750,000 -  2,150,000]","   113,000 [    92,300 -    139,000]","   125,000 [    99,800 -    151,000]","     7,290 [     4,450 -     12,400]","   277,000 [   254,000 -    306,000]"
"SLV","   415,000 [   237,000 -    758,000]","    13,900 [    11,200 -     17,200]","    14,100 [    11,400 -     17,600]","       705 [       528 -      1,070]","    15,600 [    14,200 -     17,100]"
"SOM"," 2,920,000 [ 2,520,000 -  3,300,000]","   194,000 [   164,000 -    237,000]","   209,000 [   179,000 -    253,000]","    23,800 [    19,400 -     30,000]","   451,000 [   416,000 -    500,000]"
"SRB"," 2,460,000 [ 1,170,000 -  3,490,000]","    11,100 [     8,320 -     14,100]","    12,000 [     9,170 -     15,100]","       917 [       423 -      1,570]","    14,100 [    13,000 -     15,700]"
"SSD"," 1,830,000 [ 1,550,000 -  2,210,000]","   161,000 [   128,000 -    208,000]","   169,000 [   132,000 -    215,000]","     9,670 [     6,590 -     14,900]","   251,000 [   230,000 -    286,000]"
"SUR","   121,000 [    82,100 -    160,000]","     1,040 [       819 -      1,370]","     1,100 [       879 -      1,420]","        70 [        43 -        107]","     2,220 [     2,050 -      2,460]"
"SVK","   902,000 [   436,000 -  1,460,000]","     2,220 [     1,730 -      2,880]","     2,330 [     1,850 -      2,930]","       268 [       148 -        454]","     2,480 [     2,220 -      2,720]"
"SVN","   428,000 [   180,000 -    685,000]","       875 [       680 -      1,170]","       954 [       747 -      1,200]","        57 [        26 -        110]","       927 [       848 -      1,030]"
"SWE","    94,900 [    70,500 -    160,000]","     4,600 [     3,750 -      5,560]","     4,620 [     3,780 -      5,590]","       561 [       444 -        751]","     2,870 [     2,570 -      3,310]"
"SWZ","   332,000 [   302,000 -    361,000]","    31,300 [    25,100 -     38,200]","    33,500 [    26,900 -     40,800]","     4,470 [     3,660 -      5,580]","    59,000 [    53,000 -     63,900]"
"TCD"," 1,460,000 [ 1,300,000 -  1,780,000]","   128,000 [   104,000 -    159,000]","   131,000 [   107,000 -    162,000]","     6,950 [     4,490 -     12,600]","   263,000 [   238,000 -    286,000]"
"TGO","   297,000 [   264,000 -    374,000]","    26,000 [    22,200 -     33,100]","    26,300 [    22,500 -     33,400]","     2,380 [     1,820 -      3,000]","    47,300 [    42,300 -     52,500]"
"TJK"," 1,570,000 [ 1,350,000 -  1,970,000]","    55,600 [    42,900 -     66,400]","    58,300 [    45,400 -     69,800]","    22,600 [    17,300 -     26,600]","   135,000 [   124,000 -    147,000]"
"TKM"," 1,240,000 [ 1,010,000 -  1,690,000]","    25,800 [    19,200 -     31,700]","    27,900 [    21,000 -     33,400]","    10,900 [     8,550 -     13,300]","    69,400 [    64,500 -     76,100]"
"TTO","    20,800 [    17,500 -     27,800]","     1,590 [     1,290 -      2,040]","     1,600 [     1,290 -      2,050]","       552 [       322 -        873]","     1,290 [     1,150 -      1,430]"
"TUN","   382,000 [   296,000 -    573,000]","    23,800 [    18,700 -     30,200]","    24,000 [    18,900 -     30,400]","     3,120 [     2,070 -      4,980]","    20,100 [    18,000 -     22,800]"
"TUR"," 4,990,000 [ 3,360,000 -  9,210,000]","    80,500 [    64,600 -    103,000]","    81,800 [    66,600 -    106,000]","     9,900 [     8,060 -     12,900]","   118,000 [   106,000 -    127,000]"
"UGA"," 5,450,000 [ 4,360,000 -  6,760,000]","   195,000 [   168,000 -    241,000]","   204,000 [   175,000 -    251,000]","     7,580 [     6,180 -      9,350]","   549,000 [   508,000 -    591,000]"
"UKR"," 5,610,000 [ 4,620,000 -  8,600,000]","   253,000 [   198,000 -    305,000]","   264,000 [   210,000 -    321,000]","    68,100 [    54,400 -     84,200]","   189,000 [   172,000 -    205,000]"
"URY","   149,000 [    91,000 -    273,000]","     5,480 [     4,440 -      7,090]","     5,610 [     4,510 -      7,180]","        58 [        40 -         73]","     4,690 [     4,270 -      5,160]"
"USA","12,900,000 [ 5,730,000 - 31,900,000]","    67,500 [    51,800 -     85,000]","    68,500 [    52,500 -     86,000]","     8,230 [     5,590 -     12,800]","    74,200 [    67,800 -     81,100]"
"UZB"," 3,050,000 [ 2,530,000 -  3,990,000]","   189,000 [   155,000 -    235,000]","   194,000 [   161,000 -    240,000]","    81,100 [    68,600 -    101,000]","   269,000 [   248,000 -    287,000]"
"VEN"," 1,120,000 [   845,000 -  1,900,000]","    44,600 [    37,500 -     56,400]","    45,000 [    38,100 -     57,100]","     4,550 [     2,580 -      8,160]","    61,200 [    54,500 -     67,500]"
"VNM","35,900,000 [27,800,000 - 41,500,000]","   608,000 [   475,000 -    810,000]","   710,000 [   542,000 -    899,000]","   133,000 [   101,000 -    169,000]"," 1,150,000 [ 1,060,000 -  1,250,000]"
"YEM"," 4,540,000 [ 3,390,000 -  5,530,000]","    74,900 [    58,900 -     92,700]","    78,400 [    61,900 -     96,100]","     2,890 [     2,330 -      3,520]","   199,000 [   181,000 -    215,000]"
"ZAF","17,200,000 [15,700,000 - 19,700,000]"," 1,310,000 [ 1,090,000 -  1,600,000]"," 1,420,000 [ 1,220,000 -  1,740,000]","   138,000 [   100,000 -    193,000]"," 2,200,000 [ 2,020,000 -  2,380,000]"
"ZMB"," 4,870,000 [ 4,210,000 -  5,310,000]","   251,000 [   200,000 -    308,000]","   275,000 [   221,000 -    338,000]","    15,500 [    12,300 -     19,800]","   640,000 [   586,000 -    702,000]"
"ZWE"," 2,830,000 [ 2,480,000 -  3,380,000]","   168,000 [   135,000 -    198,000]","   176,000 [   142,000 -    209,000]","    11,900 [     7,830 -     17,700]","   379,000 [   351,000 -    420,000]"
